index,latitude,longitude,city
0,34.0536909,-118.242766,"CA, Los Angeles"
1,40.7127281,-74.0060152,"NY, New York"
2,26.6091509,-81.652407,"FL, Lehigh Acres"
3,37.7385507,-121.4201395,"CA, Tracy"
4,38.6280278,-90.1910154,"MO, St Louis"
5,29.7589382,-95.3676974,"TX, Houston"
6,33.6170092,-117.9294401,"CA, Newport Beach"
7,36.1563122,-95.9927516,"OK, Tulsa"
8,39.6895036,-84.1688274,"OH, Kettering"
9,42.9632405,-85.6678639,"MI, Grand Rapids"
10,34.02332,-84.360022,"GA, Roswell"
11,47.9793437,-122.2127011,"WA, Everett"
12,39.2908816,-76.610759,"MD, Baltimore"
13,40.7985464,-81.3749508,"OH, Canton"
14,35.1987522,-111.651822,"AZ, Flagstaff"
15,43.0166806,-88.0070315,"WI, West Allis"
16,39.9527237,-75.1635262,"PA, Philadelphia"
17,34.4221319,-119.702667,"CA, Santa Barbara"
18,38.8339578,-104.825348,"CO, Colorado Springs"
19,26.1275862,-80.2331036,"FL, Plantation"
20,41.3082138,-72.9250518,"CT, New Haven"
21,34.7465071,-92.2896267,"AR, Little Rock"
22,38.1040864,-122.2566367,"CA, Vallejo"
23,38.9742502,-94.6851702,"KS, Overland Park"
24,41.8755616,-87.6244212,"IL, Chicago"
25,47.6571934,-117.42351,"WA, Spokane"
26,41.1035786,-80.6520161,"OH, Youngstown"
27,36.1150858,-115.173414,"NV, Paradise"
28,36.1672559,-115.148516,"NV, Las Vegas"
29,27.9477595,-82.458444,"FL, Tampa"
30,29.2108147,-81.0228331,"FL, Daytona Beach"
31,32.9537349,-96.8902816,"TX, Carrollton"
32,32.9481789,-96.7297206,"TX, Richardson"
33,38.8769326,-77.0893094,"MA, Arlington"
34,42.8501191,-106.325138,"WY, Casper"
35,35.0841034,-106.650985,"NM, Albuquerque"
36,32.7762719,-96.7968559,"TX, Dallas"
37,41.0799898,-85.1386015,"IN, Fort Wayne"
38,37.3893889,-122.0832101,"CA, Mountain View"
39,42.498275,-92.3328743,"IA, Waterloo"
40,40.4416941,-79.9900861,"PA, Pittsburgh"
41,35.3784666,-94.3996456,"AR, Fort Smith"
42,35.2272086,-80.8430827,"NC, Charlotte"
43,40.4233142,-104.7091322,"CO, Greeley"
44,26.271192,-80.2706044,"FL, Coral Springs"
45,43.0349931,-87.922497,"WI, Milwaukee"
46,35.4495097,-97.3967025,"OK, Midwest City"
47,39.1014537,-84.5124602,"OH, Cincinnati"
48,42.7656251,-71.4677032,"NH, Nashua"
49,28.0197404,-82.7717684,"FL, Dunedin"
50,36.2005843,-115.121584,"NV, North Las Vegas"
51,26.1907543,-97.6960599,"TX, Harlingen"
52,47.9078244,-97.0592028,"ND, Grand Forks"
53,41.5644476,-93.7594059,"IA, West Des Moines"
54,43.157285,-77.615214,"NY, Rochester"
55,44.9497487,-93.0931028,"MN, St Paul"
56,30.5955289,-96.3071042,"TX, College Station"
57,35.042036,-89.6645266,"TN, Collierville"
58,26.6059432,-81.9806771,"FL, Cape Coral"
59,28.106471,-80.6371513,"FL, Melbourne"
60,42.3315509,-83.0466403,"MI, Detroit"
61,26.8233946,-80.1386547,"FL, Palm Beach Gardens"
62,34.851354,-82.3984882,"SC, Greenville"
63,39.579155,-104.8769227,"CO, Centennial"
64,42.2625621,-71.8018877,"MA, Worcester"
65,42.6829765,-89.0226793,"WI, Janesville"
66,34.1033192,-117.5751735,"CA, Rancho Cucamonga"
67,38.8950368,-77.0365427,"DC, Washington"
68,41.2587459,-95.9383758,"NE, Omaha"
69,41.7809588,-71.4371257,"RI, Cranston"
70,40.0149856,-105.270545,"CO, Boulder"
71,33.4484367,-112.074141,"AZ, Phoenix"
72,38.0400864,-84.4109993,"KY, Lexington-Fayette"
73,36.1111405,-115.2428656,"NV, Spring Valley"
74,34.3916641,-118.542586,"CA, Santa Clarita"
75,46.601557,-120.510842,"WA, Yakima"
76,36.7394421,-119.7848307,"CA, Fresno"
77,37.3361663,-121.890591,"CA, San Jose"
78,47.6038321,-122.330062,"WA, Seattle"
79,44.0806041,-103.2280239,"SD, Rapid City"
80,42.4969652,-82.8890965,"MI, St Clair Shores"
81,25.7741728,-80.19362,"FL, Miami"
82,33.5206824,-86.8024326,"AL, Birmingham"
83,43.0116784,-88.2314813,"WI, Waukesha"
84,32.5007031,-94.74049,"TX, Longview"
85,35.6571367,-97.4649038,"OK, Edmond"
86,36.0301134,-114.9826194,"NV, Henderson"
87,32.7174202,-117.1627728,"CA, San Diego"
88,25.7929198,-80.1353006,"FL, Miami Beach"
89,47.4799078,-122.2034496,"WA, Renton"
90,31.8457149,-102.367687,"TX, Odessa"
91,35.3738712,-119.0194639,"CA, Bakersfield"
92,25.9812025,-80.148379,"FL, Hallandale Beach"
93,41.43565975,-73.46825748283703,"CT, Danbury"
94,32.5369356,-93.6952689,"LA, Bossier City"
95,38.3348728,-75.0847659,"MD, Ocean City"
96,41.8455398,-87.7540199,"IL, Cicero"
97,40.5508527,-105.0668085,"CO, Fort Collins"
98,40.6061337,-111.9395211,"UT, West Jordan"
