,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
0,Ducted Heating,3B,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Shared Heating,15 ACH50,"CA, Los Angeles"
2,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"NY, New York"
3,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"FL, Lehigh Acres"
4,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"CA, Tracy"
9,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"MO, St Louis"
11,Ducted Heating,2A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,50 ACH50,"TX, Houston"
12,Ducted Heating,3B,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Newport Beach"
16,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"OK, Tulsa"
17,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"OH, Kettering"
18,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Boiler,15 ACH50,"MI, Grand Rapids"
20,Ducted Heating,3A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"GA, Roswell"
21,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"IN, Indianapolis City Balance"
24,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"WA, Everett"
25,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
26,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"MD, Baltimore"
28,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"OH, Canton"
29,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,4 ACH50,"AZ, Flagstaff"
31,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"WI, West Allis"
32,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"PA, Philadelphia"
34,Ducted Heating,3C,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Santa Barbara"
35,Non-Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Boiler,10 ACH50,"CO, Colorado Springs"
36,Ducted Heating,1A,1970s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Plantation"
39,Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,40 ACH50,"NY, New York"
41,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,30 ACH50,"PA, Philadelphia"
