Column1,output,dependencies,selection,,,
67,HVAC Heating Type,"['ASHRAE IECC Climate Zone 2004 - 2A Split', 'Heating Fuel', 'Vintage']",4,,0,no
124,Window Areas,['Geometry Building Type Height'],0,,1,yes
28,ASHRAE IECC Climate Zone 2004,[],3,,2,future
42,Geometry Building Type ACS,['PUMA'],3,,3,propagate
43,Vintage,"['Geometry Building Type ACS', 'PUMA']",3,,4,maybe??
45,Geometry Building Type RECS,['Geometry Building Type ACS'],3,,,
46,Heating Fuel,"['Geometry Building Type RECS', 'PUMA', 'Vintage']",3,,,
62,Insulation Rim Joist,['Insulation Foundation Wall'],3,,,
63,Windows,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'Vintage ACS']",3,,,
65,Water Heater Fuel,"['Geometry Building Type RECS', 'Heating Fuel', 'Location Region']",3,,,
68,HVAC Cooling Type,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'HVAC Heating Type', 'Vintage ACS']",3,,,
73,HVAC Heating Type And Fuel,"['Heating Fuel', 'HVAC Heating Efficiency']",3,,,
118,Geometry Wall Type,"['Geometry Building Type RECS', 'Geometry Story Bin', 'State', 'Vintage ACS']",3,,,
58,Roof Material,"['Geometry Building Type RECS', 'Location Region']",1,,,
59,Insulation Slab,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']",1,,,
60,Insulation Floor,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']",1,,,
61,Insulation Foundation Wall,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']",1,,,
122,Occupants,"['Bedrooms', 'Census Division', 'Geometry Building Type RECS', 'Income RECS2015', 'PUMA Metro Status', 'Tenure']",1,,,
125,Insulation Ceiling,"['Geometry Attic Type', 'Location Region', 'Vintage']",1,,,
126,Insulation Roof,['Geometry Attic Type'],1,,,
127,Insulation Wall,"['Location Region', 'Vintage', 'Geometry Wall Type']",1,,,
129,Infiltration,"['ASHRAE IECC Climate Zone 2004', 'Geometry Floor Area', 'Vintage']",1,,,
132,City,['County and PUMA'],1,,,
0,Schedules,[],0,,,
1,Usage Level,[],0,,,
2,Orientation,[],0,,,
4,Door Area,[],0,,,
7,Doors,[],0,,,
8,Hot Water Fixtures,['Usage Level'],0,,,
9,Hot Water Distribution,[],0,,,
10,Solar Hot Water,[],0,,,
11,HVAC Secondary Heating Type And Fuel,[],0,,,
12,HVAC Secondary Heating Efficiency,[],0,,,
13,HVAC System Is Faulted,[],0,,,
14,Dehumidifier,[],0,,,
15,Lighting Interior Use,[],0,,,
16,Lighting Other Use,[],0,,,
