,output,dependencies
0,Schedules,[]
1,Usage Level,[]
2,Orientation,[]
3,Eaves,[]
4,Door Area,[]
5,Overhangs,[]
6,Interior Shading,[]
7,Doors,[]
8,Hot Water Fixtures,['Usage Level']
9,Hot Water Distribution,[]
10,Solar Hot Water,[]
11,HVAC Secondary Heating Type And Fuel,[]
12,HVAC Secondary Heating Efficiency,[]
13,HVAC System Is Faulted,[]
14,Dehumidifier,[]
15,Lighting Interior Use,[]
16,Lighting Other Use,[]
17,Holiday Lighting,[]
18,Plug Load Diversity,['Usage Level']
19,Electric Vehicle,[]
20,Misc Gas Fireplace,[]
21,Misc Gas Grill,[]
22,Misc Gas Lighting,[]
23,Misc Well Pump,[]
24,Natural Ventilation,[]
25,Mechanical Ventilation,[]
26,Bathroom Spot Vent Hour,[]
27,Range Spot Vent Hour,[]
28,ASHRAE IECC Climate Zone 2004,[]
29,County and PUMA,['ASHRAE IECC Climate Zone 2004']
30,CEC Climate Zone,['County and PUMA']
31,County,['County and PUMA']
32,AHS Region,['County']
33,ASHRAE IECC Climate Zone 2004 - 2A Split,['County']
34,State,['County']
35,Location Region,['State']
36,Census Division,['State']
37,Census Division RECS,['State']
38,Census Region,['Census Division']
39,ISO RTO Region,['County']
40,Building America Climate Zone,['County']
41,PUMA,['County and PUMA']
42,Geometry Building Type ACS,['PUMA']
43,Vintage,"['Geometry Building Type ACS', 'PUMA']"
44,Vintage ACS,['Vintage']
45,Geometry Building Type RECS,['Geometry Building Type ACS']
46,Heating Fuel,"['Geometry Building Type RECS', 'PUMA', 'Vintage']"
47,Geometry Building Number Units SFA,['Geometry Building Type ACS']
48,Geometry Building Horizontal Location SFA,['Geometry Building Number Units SFA']
49,Geometry Foundation Type,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'Vintage ACS']"
50,Corridor,['Geometry Building Type RECS']
51,Vacancy Status,"['Geometry Building Type RECS', 'PUMA']"
52,Tenure,"['Geometry Building Type RECS', 'PUMA']"
53,Income,"['Geometry Building Type RECS', 'PUMA', 'Tenure', 'Vintage ACS']"
54,Income RECS2015,['Income']
55,Income RECS2020,['Income']
56,Neighbors,['Geometry Building Type RECS']
57,Radiant Barrier,['Geometry Building Type RECS']
58,Roof Material,"['Geometry Building Type RECS', 'Location Region']"
59,Insulation Slab,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']"
60,Insulation Floor,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']"
61,Insulation Foundation Wall,"['Location Region', 'Vintage', 'Geometry Building Type RECS', 'Geometry Foundation Type']"
62,Insulation Rim Joist,['Insulation Foundation Wall']
63,Windows,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'Vintage ACS']"
64,Water Heater In Unit,"['Geometry Building Type RECS', 'Location Region', 'Vintage ACS']"
65,Water Heater Fuel,"['Geometry Building Type RECS', 'Heating Fuel', 'Location Region']"
66,Water Heater Efficiency,"['Location Region', 'Water Heater Fuel']"
67,HVAC Heating Type,"['ASHRAE IECC Climate Zone 2004 - 2A Split', 'Heating Fuel', 'Vintage']"
68,HVAC Cooling Type,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'HVAC Heating Type', 'Vintage ACS']"
69,HVAC Has Shared System,"['Geometry Building Type RECS', 'HVAC Cooling Type', 'HVAC Heating Type', 'Vintage']"
70,HVAC Shared Efficiencies,"['Heating Fuel', 'HVAC Has Shared System']"
71,HVAC Heating Efficiency,"['Heating Fuel', 'HVAC Has Shared System', 'HVAC Heating Type']"
72,HVAC Has Zonal Electric Heating,['HVAC Heating Efficiency']
73,HVAC Heating Type And Fuel,"['Heating Fuel', 'HVAC Heating Efficiency']"
74,HVAC Cooling Efficiency,"['HVAC Cooling Type', 'HVAC Has Shared System', 'Vintage']"
75,HVAC System Single Speed AC Airflow,"['HVAC Cooling Efficiency', 'HVAC System Is Faulted']"
76,HVAC System Single Speed ASHP Airflow,"['HVAC Heating Efficiency', 'HVAC System Is Faulted']"
77,HVAC System Single Speed AC Charge,"['HVAC Cooling Efficiency', 'HVAC System Is Faulted']"
78,HVAC System Single Speed ASHP Charge,"['HVAC Heating Efficiency', 'HVAC System Is Faulted']"
79,Heating Setpoint,"['Vacancy Status', 'ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'HVAC Has Zonal Electric Heating']"
80,Cooling Setpoint,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'HVAC Cooling Type']"
